frase,situacao
Apresentei moderada desconforto com inquietação na cabeça,baixo risco
Tenho contínua dor no peito no abdômen após comer,baixo risco
Sinto inquietação junto com tosse nas costas durante a noite,baixo risco
Sinto suor excessivo e dor abdominal nas mãos há 2 dias,baixo risco
Sinto cansaço seguida de dor no peito na coluna após esforço,alto risco
Apresentei forte rigidez muscular junto com tontura no peito,baixo risco
Apresentei leve confusão mental e inquietação na cabeça,alto risco
Tenho aguda fraqueza nos braços durante a noite,baixo risco
Tenho contínua inchaço na cabeça há 2 dias,baixo risco
Tenho forte dor abdominal nas costas ao acordar,baixo risco
Sensação de coceira contínua durante o repouso,alto risco
Tenho aguda desconforto nas pernas após esforço,alto risco
Tenho leve desconforto na cabeça após esforço,alto risco
suor excessivo persistente na garganta há uma semana,baixo risco
Sinto febre com inchaço na garganta ao acordar,baixo risco
aperto crônica na coluna após comer,alto risco
Sensação de tosse leve ao levantar,alto risco
cansaço intensa na cabeça ao levantar,baixo risco
Apresentei contínua fraqueza associada a confusão mental na coluna,baixo risco
Apresentei intensa rigidez muscular associada a dor no peito nos olhos,alto risco
Sinto falta de ar associada a perda de equilíbrio nas mãos após comer,alto risco
Apresentei intermitente aperto junto com tontura na coluna,alto risco
Apresentei repentina dor no peito seguida de inchaço na coluna,baixo risco
Sensação de perda de visão persistente durante a noite,alto risco
formigamento intensa na garganta há uma semana,baixo risco
aperto repentina nas mãos após esforço,baixo risco
Sinto suor excessivo e dor no peito na coluna durante o repouso,baixo risco
Apresentei persistente perda de visão e tosse nos pés,alto risco
tontura intensa no peito há 2 dias,alto risco
Sinto cansaço associada a formigamento na lombar há uma semana,alto risco
Sensação de falta de ar crônica após comer,baixo risco
Apresentei intensa formigamento associada a dor no peito na lombar,alto risco
Tenho contínua náusea nas pernas durante o repouso,baixo risco
Apresentei contínua inchaço associada a dor de cabeça na cabeça,baixo risco
desconforto intermitente no abdômen durante a noite,alto risco
Sinto dor abdominal com náusea nos braços durante a noite,baixo risco
Tenho persistente febre nas costas de manhã,alto risco
Apresentei forte dor e dor abdominal na cabeça,alto risco
Apresentei persistente falta de ar e rigidez muscular nas mãos,baixo risco
Sinto suor excessivo seguida de desconforto nas costas durante o repouso,alto risco
Sinto inquietação junto com tosse na coluna à noite,alto risco
febre moderada nas pernas há uma semana,baixo risco
confusão mental persistente na lombar há 2 dias,baixo risco
Apresentei repentina tosse e desconforto nos pés,baixo risco
Sensação de inquietação aguda ao levantar,baixo risco
Sinto dor abdominal junto com dor abdominal nos pés há uma semana,alto risco
Tenho intensa rigidez muscular nos pés de manhã,baixo risco
Sensação de dor no peito intensa ao levantar,baixo risco
Apresentei aguda suor excessivo com falta de ar nos braços,alto risco
Apresentei aguda inchaço junto com confusão mental na cabeça,alto risco
Sinto tontura com calafrio nos braços há 2 dias,baixo risco
Sensação de suor excessivo leve durante o repouso,alto risco
tontura intermitente nas pernas durante o repouso,alto risco
palpitação leve na garganta há 2 dias,alto risco
Sinto cansaço e suor excessivo no peito há 2 dias,alto risco
Tenho leve tontura nos olhos durante o repouso,alto risco
Tenho persistente rigidez muscular na lombar há uma semana,alto risco
Tenho crônica desconforto na cabeça após esforço,alto risco
Sinto confusão mental junto com dor de cabeça no peito após esforço,baixo risco
Sinto dor seguida de dor no peito na coluna ao acordar,baixo risco
Tenho crônica perda de equilíbrio nas costas há uma semana,baixo risco
Apresentei repentina aperto associada a coceira nos olhos,alto risco
Sensação de perda de visão repentina ao levantar,baixo risco
Tenho forte fraqueza nas costas ao levantar,alto risco
Sinto confusão mental com rigidez muscular na lombar durante o repouso,alto risco
Tenho crônica falta de ar na cabeça após esforço,alto risco
náusea crônica nos olhos há uma semana,baixo risco
palpitação leve nas mãos durante a noite,alto risco
Tenho persistente desconforto nos pés durante a noite,alto risco
Tenho contínua calafrio na coluna após esforço,baixo risco
Sinto inchaço com perda de equilíbrio na lombar durante o repouso,alto risco
Sensação de dor forte de manhã,alto risco
Sinto dor associada a palpitação nos braços durante a noite,alto risco
Apresentei forte inquietação e confusão mental nos pés,alto risco
Sinto inquietação e coceira nas pernas ao acordar,alto risco
Sensação de inquietação crônica há uma semana,baixo risco
Tenho intensa coceira na lombar à noite,alto risco
Apresentei aguda fraqueza e inquietação nas pernas,alto risco
Apresentei forte fraqueza seguida de tontura nos olhos,alto risco
Sinto tontura junto com fraqueza no abdômen há uma semana,baixo risco
Apresentei aguda dor abdominal junto com dor no peito nas pernas,alto risco
palpitação forte na lombar há 2 dias,alto risco
Apresentei persistente rigidez muscular junto com tosse nas mãos,baixo risco
Apresentei aguda tontura seguida de cansaço nas costas,alto risco
Sensação de náusea moderada há uma semana,baixo risco
Apresentei aguda inchaço associada a febre na garganta,alto risco
Sensação de náusea moderada ao levantar,baixo risco
Apresentei intermitente coceira seguida de cansaço nas costas,baixo risco
Sensação de cansaço persistente após esforço,baixo risco
Sinto palpitação seguida de náusea na lombar há 2 dias,alto risco
confusão mental repentina no peito durante a noite,alto risco
Tenho repentina suor excessivo no abdômen à noite,baixo risco
Sensação de aperto crônica há uma semana,baixo risco
Tenho aguda inchaço no peito ao levantar,baixo risco
Apresentei contínua tosse com inquietação nas costas,baixo risco
Sensação de falta de ar persistente ao levantar,baixo risco
Tenho crônica dor de cabeça nos olhos há uma semana,baixo risco
Tenho repentina formigamento na lombar há uma semana,baixo risco
Apresentei persistente perda de visão junto com perda de equilíbrio no abdômen,baixo risco
tosse crônica nas pernas após esforço,alto risco
Sensação de dor de cabeça aguda ao levantar,alto risco
formigamento moderada nas mãos após comer,baixo risco
Sensação de fraqueza leve ao acordar,baixo risco
Sensação de calafrio persistente após comer,alto risco
perda de equilíbrio repentina nos braços ao levantar,baixo risco
Sinto febre e dor nos olhos ao levantar,baixo risco
Sinto suor excessivo associada a cansaço na cabeça de manhã,baixo risco
Apresentei leve rigidez muscular associada a calafrio nas costas,baixo risco
suor excessivo repentina nas costas após esforço,alto risco
Sinto cansaço junto com dor de cabeça no peito há 2 dias,baixo risco
Apresentei intensa cansaço com fraqueza na cabeça,baixo risco
Sensação de rigidez muscular contínua à noite,baixo risco
rigidez muscular repentina no abdômen à noite,baixo risco
calafrio crônica na cabeça há 2 dias,baixo risco
Tenho leve febre na lombar durante o repouso,alto risco
Tenho moderada inquietação nos pés de manhã,baixo risco
Sinto tosse seguida de dor de cabeça no peito após comer,alto risco
Tenho leve cansaço na garganta após comer,alto risco
Tenho intensa cansaço nos olhos durante a noite,baixo risco
febre intermitente nos olhos durante o repouso,alto risco
Apresentei persistente fraqueza com dor no peito nas pernas,baixo risco
Tenho leve rigidez muscular nos braços há 2 dias,baixo risco
rigidez muscular intensa na garganta há uma semana,alto risco
dor no peito persistente no abdômen após esforço,alto risco
Sinto dor no peito junto com coceira nos braços de manhã,baixo risco
Tenho persistente fraqueza nos braços durante o repouso,alto risco
Tenho intensa cansaço nos braços após comer,baixo risco
Tenho forte náusea nos braços durante o repouso,alto risco
Sensação de dor de cabeça repentina há uma semana,baixo risco
formigamento repentina nas costas ao acordar,baixo risco
Sensação de cansaço intensa há 2 dias,alto risco
Sensação de aperto aguda ao levantar,baixo risco
Sinto perda de equilíbrio associada a inchaço nos braços há uma semana,baixo risco
Tenho forte inquietação nos olhos após esforço,baixo risco
Sinto confusão mental seguida de náusea nas mãos há 2 dias,baixo risco
Apresentei contínua formigamento seguida de náusea na lombar,alto risco
fraqueza aguda nas costas ao levantar,baixo risco
Tenho persistente tosse no abdômen após esforço,baixo risco
dor de cabeça intermitente nos braços à noite,alto risco
Sinto dor associada a calafrio nas costas durante a noite,alto risco
náusea contínua no peito durante o repouso,alto risco
dor no peito persistente nos braços ao levantar,alto risco
Sinto cansaço com aperto nos olhos há uma semana,baixo risco
Sinto dor associada a náusea no abdômen durante o repouso,baixo risco
Sinto coceira com perda de equilíbrio nas mãos de manhã,alto risco
inchaço aguda na lombar há uma semana,baixo risco
Tenho forte desconforto na lombar durante o repouso,alto risco
Tenho moderada coceira no abdômen durante a noite,alto risco
Sensação de dor aguda durante a noite,baixo risco
formigamento moderada nas mãos ao levantar,alto risco
Apresentei aguda calafrio seguida de calafrio no peito,baixo risco
perda de equilíbrio intermitente nos braços há uma semana,alto risco
Tenho crônica calafrio nos braços após comer,alto risco
febre forte nos braços ao levantar,baixo risco
Sinto dor de cabeça e suor excessivo nas costas ao levantar,alto risco
Apresentei aguda náusea junto com náusea no peito,baixo risco
Tenho persistente coceira na cabeça ao acordar,baixo risco
Sensação de perda de equilíbrio aguda de manhã,baixo risco
Tenho intensa fraqueza na coluna de manhã,alto risco
dor moderada no abdômen ao acordar,baixo risco
Apresentei contínua dor com tosse na garganta,alto risco
Apresentei crônica perda de equilíbrio com perda de visão no abdômen,baixo risco
Apresentei moderada coceira com confusão mental na garganta,alto risco
Sinto rigidez muscular e desconforto na cabeça após esforço,baixo risco
Tenho persistente desconforto na coluna durante o repouso,alto risco
Sensação de rigidez muscular persistente à noite,alto risco
Tenho intermitente desconforto na lombar de manhã,alto risco
Sinto dor de cabeça junto com náusea no abdômen ao acordar,alto risco
Sensação de desconforto repentina há 2 dias,alto risco
Tenho leve cansaço nas costas à noite,alto risco
Apresentei repentina náusea e dor no peito nos olhos,baixo risco
perda de visão intermitente nas mãos durante a noite,baixo risco
fraqueza aguda nas mãos durante a noite,baixo risco
Tenho leve dor abdominal nas mãos à noite,baixo risco
Apresentei persistente dor junto com confusão mental nos braços,baixo risco
Sinto perda de visão junto com dor no peito nas mãos há 2 dias,baixo risco
Sensação de cansaço leve ao levantar,alto risco
Sinto palpitação associada a cansaço nas mãos durante a noite,alto risco
Sinto dor com tosse na coluna há uma semana,baixo risco
Tenho moderada tontura na lombar há 2 dias,alto risco
Sinto falta de ar com dor abdominal nas costas de manhã,alto risco
coceira repentina na cabeça há 2 dias,alto risco
